CHARTER,REG,ASSET,DEP,TYPE
NM,MIDWESTERN,60448,52311,FAILURE
SM,MIDWESTERN,139446,130110,FAILURE
NM,WESTERN,212638872,176436706,FAILURE
NM,NORTHEASTERN,110363650,88612911,FAILURE
SM,WESTERN,209026000,175378000,FAILURE
NM,MIDWESTERN,65733,64941,FAILURE
NM,SOUTHERN,136566,133936,FAILURE
NM,SOUTHERN,151808,143102,FAILURE
NM,MIDWESTERN,100879,95159,FAILURE
N,NORTHEASTERN,120574,111234,FAILURE
SB,MIDWESTERN,23292,22885,FAILURE
NM,SOUTHERN,28163,25174,FAILURE
NM,SOUTHERN,36738,31254,FAILURE
SB,MIDWESTERN,166345,143964,FAILURE
NM,MIDWESTERN,33012,27466,FAILURE
SM,MIDWESTERN,34370,33972,FAILURE
SB,MIDWESTERN,1031900,1002026,FAILURE
NM,SOUTHERN,3325870,3032208,FAILURE
NM,WESTERN,68208,65042,FAILURE
NM,MIDWESTERN,297809,256505,FAILURE
NM,NORTHEASTERN,124223,122177,FAILURE
SM,SOUTHERN,66336,64713,FAILURE
NM,SOUTHERN,21426,21122,FAILURE
NM,NORTHEASTERN,103307,101040,FAILURE
NM,SOUTHERN,18998,20148,FAILURE
NM,MIDWESTERN,67115,61493,FAILURE
NM,SOUTHERN,286102,264234,FAILURE
N,WESTERN,3785,3705,FAILURE
SM,WESTERN,26760,25480,FAILURE
NM,MIDWESTERN,90034,90007,FAILURE
NM,OTHER,5898515,4097734,FAILURE
NM,SOUTHERN,272311,262652,FAILURE
NM,MIDWESTERN,54727,53453,FAILURE
N,SOUTHERN,73804,73199,FAILURE
NM,MIDWESTERN,18794,18221,FAILURE
SB,WESTERN,80736,76344,FAILURE
N,MIDWESTERN,843118,809638,FAILURE
SM,SOUTHERN,155353,151559,FAILURE
SB,MIDWESTERN,70286,68722,FAILURE
NM,SOUTHERN,173946,166875,FAILURE
NM,SOUTHERN,22816,20855,FAILURE
NM,SOUTHERN,81843,66541,FAILURE
NM,MIDWESTERN,456442,359953,FAILURE
SB,SOUTHERN,140063,111142,FAILURE
SI,MIDWESTERN,36484,29538,FAILURE
NM,MIDWESTERN,66309,65031,FAILURE
NM,SOUTHERN,49498,49356,FAILURE
NM,NORTHEASTERN,63453,62472,FAILURE
N,SOUTHERN,130305,121704,FAILURE
NM,WESTERN,153361,145813,FAILURE
NM,SOUTHERN,317172,315843,FAILURE
N,MIDWESTERN,53524,51878,FAILURE
N,SOUTHERN,159257,142640,FAILURE
NM,SOUTHERN,24724,24591,FAILURE
NM,NORTHEASTERN,26368,25715,FAILURE
N,SOUTHERN,3085764,2338335,FAILURE
NM,WESTERN,202179,196924,FAILURE
NM,SOUTHERN,386908,377672,FAILURE
NM,MIDWESTERN,43564,40663,FAILURE
NM,SOUTHERN,247315,243618,FAILURE
N,SOUTHERN,437282,373366,FAILURE
NM,WESTERN,20152,19579,FAILURE
NM,MIDWESTERN,134024,127590,FAILURE
NM,WESTERN,31550,30822,FAILURE
NM,SOUTHERN,21880,21246,FAILURE
NM,SOUTHERN,60793,57775,FAILURE
NM,SOUTHERN,109642,104709,FAILURE
NM,SOUTHERN,317288,315326,FAILURE
NM,SOUTHERN,37471,37067,FAILURE
SB,SOUTHERN,92982,87196,FAILURE
NM,SOUTHERN,103960,106348,FAILURE
SM,WESTERN,42125,41728,FAILURE
NM,SOUTHERN,258840,224108,FAILURE
NM,MIDWESTERN,58422,54202,FAILURE
NM,MIDWESTERN,49626,49147,FAILURE
NM,WESTERN,91935,91879,FAILURE
NM,MIDWESTERN,42816,41881,FAILURE
NM,SOUTHERN,124561,108931,FAILURE
NM,SOUTHERN,225477,223309,FAILURE
N,MIDWESTERN,923959,869440,FAILURE
SI,NORTHEASTERN,444710,395248,FAILURE
NM,SOUTHERN,139391,131579,FAILURE
SB,SOUTHERN,65686,64888,FAILURE
NM,MIDWESTERN,186113,173670,FAILURE
NM,MIDWESTERN,328422,316877,FAILURE
SM,MIDWESTERN,282338,245716,FAILURE
NM,MIDWESTERN,215867,206809,FAILURE
SI,MIDWESTERN,83679,73001,FAILURE
NM,SOUTHERN,206672,204238,FAILURE
NM,SOUTHERN,116890,114748,FAILURE
NM,SOUTHERN,78771,78876,FAILURE
NM,SOUTHERN,209021,182114,FAILURE
SB,MIDWESTERN,190891,171627,FAILURE
NM,MIDWESTERN,96002,89723,FAILURE
NM,MIDWESTERN,22341,21809,FAILURE
NM,SOUTHERN,153208,164181,FAILURE
NM,SOUTHERN,150962,147896,FAILURE
NM,SOUTHERN,169489,160024,FAILURE
NM,SOUTHERN,163859,156402,FAILURE
SB,SOUTHERN,54373,53082,FAILURE
SM,SOUTHERN,533114,472704,FAILURE
NM,MIDWESTERN,43077,42302,FAILURE
NM,SOUTHERN,44448,44828,FAILURE
N,SOUTHERN,51553,45149,FAILURE
N,SOUTHERN,101026,99067,FAILURE
NM,SOUTHERN,163019,145534,FAILURE
SB,SOUTHERN,433512,415943,FAILURE
SB,MIDWESTERN,463840,458053,FAILURE
SM,SOUTHERN,162460,150951,FAILURE
N,WESTERN,129253,129023,FAILURE
SB,NORTHEASTERN,48861,47786,FAILURE
NM,MIDWESTERN,818237,747640,FAILURE
NM,SOUTHERN,95725,90632,FAILURE
NM,MIDWESTERN,268703,198953,FAILURE
NM,MIDWESTERN,71202,72399,FAILURE
NM,SOUTHERN,143678,116813,FAILURE
SB,MIDWESTERN,434111,432223,FAILURE
NM,SOUTHERN,278860,266589,FAILURE
SB,MIDWESTERN,182561,171365,FAILURE
N,MIDWESTERN,93894,89485,FAILURE
NM,SOUTHERN,1009154,1037716,FAILURE
NM,MIDWESTERN,105029,102833,FAILURE
SM,SOUTHERN,261947,259571,FAILURE
NM,SOUTHERN,397082,378309,FAILURE
NM,SOUTHERN,71485,71080,FAILURE
SB,NORTHEASTERN,19259,17548,FAILURE
NM,SOUTHERN,516760,509065,FAILURE
NM,SOUTHERN,125976,112050,FAILURE
N,WESTERN,162872,144491,FAILURE
NM,SOUTHERN,383132,347720,FAILURE
NM,MIDWESTERN,91580,81967,FAILURE
NM,SOUTHERN,62383,55906,FAILURE
NM,WESTERN,198081,169135,FAILURE
NM,MIDWESTERN,106075,105461,FAILURE
NM,MIDWESTERN,34800,30542,FAILURE
NM,SOUTHERN,209048,212184,FAILURE
NM,SOUTHERN,165291,157808,FAILURE
NM,SOUTHERN,184750,172042,FAILURE
SM,WESTERN,1280964,1239630,FAILURE
NM,NORTHEASTERN,191852,188099,FAILURE
NM,SOUTHERN,198993,178773,FAILURE
NM,MIDWESTERN,195034,180835,FAILURE
SI,SOUTHERN,161430,159628,FAILURE
NM,MIDWESTERN,351492,280649,FAILURE
NM,MIDWESTERN,419723,384120,FAILURE
